Time,Alamein,Belgrave,Craigieburn,Cranbourne,Mernda,Frankston,Glen Waverley,Hurstbridge,Lilydale,Pakenham,Sandringham,Stony Point,Sunbury,Upfield,Werribee,Williamstown
2024-08-01 08:58:26.689276,Minor Delays,Minor Delays,Minor Delays,Minor Delays,Major Delays,Minor Delays,Minor Delays,Major Delays,Minor Delays,Minor Delays,Minor Delays,Planned Works,Minor Delays,Minor Delays,Good Service,Good Service
2024-08-01 09:13:26.689345,Minor Delays,Minor Delays,Minor Delays,Minor Delays,Major Delays,Minor Delays,Minor Delays,Major Delays,Minor Delays,Minor Delays,Minor Delays,Planned Works,Minor Delays,Minor Delays,Good Service,Good Service
2024-08-01 09:28:26.694871,Good Service,Good Service,Minor Delays,Minor Delays,Service Information,Minor Delays,Minor Delays,Major Delays,Minor Delays,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-08-01 09:43:26.677108,Good Service,Good Service,Minor Delays,Minor Delays,Service Information,Minor Delays,Minor Delays,Major Delays,Minor Delays,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-08-01 09:58:26.688671,Good Service,Good Service,Minor Delays,Minor Delays,Service Information,Minor Delays,Minor Delays,Major Delays,Service Information,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-08-01 10:13:26.693744,Good Service,Good Service,Minor Delays,Minor Delays,Good Service,Minor Delays,Minor Delays,Major Delays,Minor Delays,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-08-01 10:28:26.694481,Good Service,Good Service,Minor Delays,Minor Delays,Good Service,Minor Delays,Minor Delays,Major Delays,Minor Delays,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-08-01 10:43:26.695273,Good Service,Good Service,Minor Delays,Minor Delays,Good Service,Minor Delays,Minor Delays,Major Delays,Minor Delays,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-08-01 10:58:26.684669,Good Service,Good Service,Minor Delays,Minor Delays,Good Service,Minor Delays,Minor Delays,Major Delays,Minor Delays,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-08-01 11:13:26.657071,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service
2024-08-01 11:28:26.690664,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service
2024-08-01 11:43:26.692987,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service
