Station,KM
Drouin,92.2
Warragul,103
Yarragon,115.4
Trafalgar,123.5
Moe,133.4
Morwell,147.6
Traralgon,161.3
Rosedale,183.6
Sale,209.2
Stratford,225.3
Bairnsdale,278
Maldon,-143.422
Muckleford,-143.422
Coldstream,43.132
Yering,46.882
Yarra Glen,50.860
Tarrawarra,55.846
Healesville,63.842
Walhalla,172.056
Thomson,168.490
Selby,45.219
Menzies Creek,49.001
Clematis,50.982
Emerald,52.671
Nobelius,54.673
Lakeside,56.352
Wright,57.660
Cockatoo,60.380
Fielder,62.427
Gembrook,66.820
Daylesford,-121.467
Musk,-116.209
Passing Clouds,-115.872
Bullarto,-112.081
Lyonville,-108.523
Trentham,-102.567
Fern Hill,-96.229
Tylden,-90.877
