Waratah A set fleet,,,,
Set number:,Formation:,Status:,Livery:,Fact/Note:
T106,OD-ONL-ON-OD,Inactive,Sydney Trains,Ex G6. First set to receive Tangara Technology Upgrade. 
T107,OD-ONL-ON-OD,In service,Sydney Trains,Ex T111/G11 
T108,OD-ONL-ON-OD,In service,Sydney Trains,Ex G8
T109,OD-ONL-ON-OD,In service,Sydney Trains,Ex G9
T110,OD-ONL-ON-OD,In service,Sydney Trains,Ex T133/G33
T121,OD-ONL-ON-OD,In service,Sydney Trains,Ex G21. First to receive 2010 interior refurbishment.
T122,OD-ONL-ON-OD,In service,Sydney Trains,Ex G22
T125,OD-ONL-ON-OD,In service,Sydney Trains,Ex G25
T126,OD-ONL-ON-OD,In service,Sydney Trains,Ex G26
T127,OD-ONL-ON-OD,In service,Sydney Trains,Ex G27
T128,OD-ONL-ON-OD,Inactive,Sydney Trains,Ex G28. Inactive due to TTU upgrades.
T129,OD-ONL-ON-OD,In service,Sydney Trains,Ex G29. Used for ATP testing in 2019.
T130,OD-ONL-ON-OD,In service,Sydney Trains,Ex G30. Occasionally used for ATP testing.
,,,,
Interurban V set fleet,,,,
Set number:,Formation:,Status:,Livery:,Fact/Note:
V1,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,First V set to receive NSW TrainLink colours in 2016 (?)
V2,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V3,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V4,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V5,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,Sydney Trains,First V set to receive Sydney Trains branding in 2024
V6,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V7,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V8,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V9,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V10,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V11,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V12,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V13,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V14,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V15,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V16,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V17,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V18,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,Unbranded Sydney Trains,Received NSW TrainLink colours but without branding or logos in 2024
V19,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",Withdrawn,NSW TrainLink,
V20,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",Withdrawn,NSW TrainLink,
V21,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,Oldest running V set. Was also involved in the Glenbrook train disaster in 1999.
V22,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V23,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",Withdrawn,NSW TrainLink,
V24,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V25,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,"Home to DET9216, formerly DCT9034. DET9216 is the Contura car. "
V26,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V27,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V28,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V29,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V30,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V31,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V32,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V33,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V34,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V35,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V36,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V37,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V38,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V39,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V40,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",Withdrawn,NSW TrainLink,
V41,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V42,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V43,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V44,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V45,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V46,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V47,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V48,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",Withdrawn,NSW TrainLink,"Hit a car in April 2024, has since been withdrawn."
V49,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V50,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
V51,"Any of the following: DIT, DCT, DKT, DET, DIM, DCM, DCF",In service,NSW TrainLink,
,,,,
,,,,
,,,,
,,,,
,All information correct as at 17:15 12/04/2025.,,,
,All information gathered from NSW Trains Wiki.,,,
,https://nswtrains.fandom.com/wiki/NSW_Railways_Wiki,,,
