Flinders Street,17
Ringwood,9
Richmond,8
Blackburn,6
Southern Cross,5
Lilydale,4
Caulfield,4
Melbourne Central,2
Hughesdale,2
Hawksburn,2
Flemington Racecourse,2
East Pakenham,2
Footscray,1
Camberwell,1
North Melbourne,1
Nunawading,1
Parliament,1
